Name,Link,Aliases
Lavender Brown,/wiki/Lavender_Brown,"['Lavender', 'Lav-Lav', 'Lavender Brown']"
Millicent Bulstrode,/wiki/Millicent_Bulstrode,"['Millicent', 'Millicent Bulstrode']"
Justin Finch-Fletchley,/wiki/Justin_Finch-Fletchley,"['Justin', 'Justin Finch-Fletchley']"
Seamus Finnigan,/wiki/Seamus_Finnigan,"['Seamus', ""O'Flaherty"", 'Seamus Finnigan']"
Morag MacDougal,/wiki/Morag_MacDougal,"['Morag', 'Morag MacDougal']"
Lily Moon,/wiki/Lily_Moon,['Lily Moon']
Theodore Nott,/wiki/Theodore_Nott,"['Theodore', 'Theodore Nott']"
Pansy Parkinson,/wiki/Pansy_Parkinson,"['Pansy', 'Pansy Parkinson']"
Padma Patil,/wiki/Padma_Patil,"['Padma', 'Padma Patil']"
Parvati Patil,/wiki/Parvati_Patil,"['Miss Pennyfeather', 'Parvati', 'Parvati Patil']"
Sally-Anne Perks,/wiki/Sally-Anne_Perks,['Sally-Anne Perks']
Dean Thomas,/wiki/Dean_Thomas,"['Dean', 'Dean Thomas']"
Lisa Turpin,/wiki/Lisa_Turpin,"['Lisa', 'Lisa Turpin']"
Blaise Zabini,/wiki/Blaise_Zabini,"['Blaise', 'Blaise Zabini']"
Nearly-Headless Nick,/wiki/Nicholas_de_Mimsy-Porpington,"['Sir Nicholas', 'Nearly Headless Nick', 'Nearly-Headless Nick']"
Bloody Baron,/wiki/Bloody_Baron,"['Bloody', 'Bloody Baron']"
Mr Finnigan,/wiki/Seamus_Finnigan%27s_father,"['Mr. Finnigan', 'Mr Finnigan']"
Mrs Finnigan,/wiki/Seamus_Finnigan%27s_mother,"['Mrs. Finnigan', 'Mrs Finnigan']"
Algie,/wiki/Algie_Longbottom,['Algie']
Severus Snape,/wiki/Severus_Snape,"['Snivellus/Snivelly', 'Severus', 'Snape', 'The Potions Master', 'Half-Blood Prince', 'Slytherus', 'Severus Snape']"
Argus Filch,/wiki/Argus_Filch,"['Argus', 'Filchy', 'Filch', 'Argus Filch']"
Rolanda Hooch,/wiki/Rolanda_Hooch,"['Rolanda', 'Madam Hooch', 'Rolanda Hooch']"
Fat Lady,/wiki/Fat_Lady,['Fat Lady']
Mrs Norris,/wiki/Mrs_Norris,"['Mrs. Norris', 'Mrs Norris']"
Pomona Sprout,/wiki/Pomona_Sprout,"['Professor Sprout', 'Pomona', 'Pomona Sprout']"
Cuthbert Binns,/wiki/Cuthbert_Binns,"['Professor Binns', 'Cuthbert', 'Cuthbert Binns']"
Emeric the Evil,/wiki/Emeric_the_Evil,['Emeric the Evil']
Uric the Oddball,/wiki/Uric_the_Oddball,"['Uric', 'Uric the Oddball']"
Filius Flitwick,/wiki/Filius_Flitwick,"['Professor Flitwick', 'Filius', 'Filius Flitwick']"
Fang,/wiki/Fang,['Fang']
Oliver Wood,/wiki/Oliver_Wood,"['Oliver', 'Wood', 'Oliver Wood']"
Helena Ravenclaw,/wiki/Helena_Ravenclaw,"['The Ghost of Ravenclaw', 'Helena', 'Grey Lady', 'Helena Ravenclaw']"
Draco Malfoy's eagle owl,/wiki/Draco_Malfoy%27s_eagle_owl,"[""Draco Malfoy's eagle owl""]"
Gregory the Smarmy,/wiki/Gregory_the_Smarmy,['Gregory the Smarmy']
Fluffy,/wiki/Fluffy,['Fluffy']
Baruffio,/wiki/Baruffio,['Baruffio']
Angelina Johnson,/wiki/Angelina_Johnson,"['Angelina', 'Angelina Johnson']"
Marcus Flint,/wiki/Marcus_Flint,"['Flint', 'Marcus', 'Marcus Flint']"
Alicia Spinnet,/wiki/Alicia_Spinnet,"['Spinnet', 'Alicia', 'Alicia Spinnet']"
Katie Bell,/wiki/Katie_Bell,"['Katie', 'Katie Bell']"
Miles Bletchley,/wiki/Miles_Bletchley,"['Miles', 'Miles Bletchley']"
Adrian Pucey,/wiki/Adrian_Pucey,"['Adrian', 'Pucey', 'Adrian Pucey']"
Terence Higgs,/wiki/Terence_Higgs,"['Terence', 'Higgs', 'Terence Higgs']"
Irma Pince,/wiki/Irma_Pince,"['Madam Pince', 'Irma', 'Irma Pince']"
Perenelle Flamel,/wiki/Perenelle_Flamel,"['Perenelle', 'Perenelle Flamel']"
Norbert,/wiki/Norberta,['Norbert']
Ronan,/wiki/Ronan,['Ronan']
Bane,/wiki/Bane,['Bane']
Firenze,/wiki/Firenze,"['Dobbin', 'The nag', 'Firenze']"
Elfric the Eager,/wiki/Elfric_the_Eager,"['Elfric', 'Elfric the Eager']"
Hogwarts Giant Squid,/wiki/Hogwarts_Giant_Squid,"['giant squid', 'Hogwarts Giant Squid']"
King's Cross Station,/wiki/King%27s_Cross_Station,"[""King's Cross Station""]"
Mr Mason,/wiki/Mason,"['Mr. Mason', 'Mr Mason']"
Mrs Mason,/wiki/Mason%27s_wife,"['Mrs. Mason', 'Mrs Mason']"
Dobby,/wiki/Dobby,['Dobby']
Mafalda Hopkirk,/wiki/Mafalda_Hopkirk,"['Mafalda', 'Mafalda Hopkirk']"
Errol,/wiki/Errol,['Errol']
Perkins,/wiki/Perkins,['Perkins']
Celestina Warbeck,/wiki/Celestina_Warbeck,"['Celestina', 'The Singing Sorceress', 'Celestina Warbeck']"
Gilderoy Lockhart,/wiki/Gilderoy_Lockhart,"['Lockhart', 'Gilderoy', 'Gilderoy Lockhart']"
Father Christmas,/wiki/Father_Christmas,['Father Christmas']
Mundungus Fletcher,/wiki/Mundungus_Fletcher,"['Dung', 'Mundungus', 'Mundungus Fletcher']"
Mortlake,/wiki/Mortlake,['Mortlake']
Weasley family ghoul,/wiki/Weasley_family_ghoul,"['Ronald Weasley', 'Weasley family ghoul']"
Chudley Cannons,/wiki/Chudley_Cannons,"['Chudley', 'Chudley Cannons']"
Martin Miggs,/wiki/Martin_Miggs,"['Martin', 'The Mad Muggle', 'Martin Miggs']"
Mr Borgin,/wiki/Borgin,"['Mr. Borgin', 'Mr Borgin']"
Aged witch,/wiki/Aged_witch,['Aged witch']
Mr Granger,/wiki/Hermione_Granger%27s_father,"['Mr. Granger', 'Wendell Wilkins', 'Mr Granger']"
Mrs Granger,/wiki/Hermione_Granger%27s_mother,"['Mrs. Granger', 'Monica Wilkins', 'Mrs Granger']"
Dr Filibuster,/wiki/Dr_Filibuster%27s_Fireworks,"['Dr. Filibuster', 'Dr Filibuster']"
Bozo,/wiki/Bozo,['Bozo']
Manager of Flourish and Blotts,/wiki/Manager_of_Flourish_and_Blotts,['Manager of Flourish and Blotts']
Hetty Bayliss,/wiki/Hetty_Bayliss,"['Hetty', 'Hetty Bayliss']"
Angus Fleet,/wiki/Angus_Fleet,"['Angus', 'Angus Fleet']"
Justin Finch-Fletchley's mother,/wiki/Justin_Finch-Fletchley%27s_mother,"[""Justin Finch-Fletchley's mother""]"
Colin Creevey,/wiki/Colin_Creevey,"['Mr. Creevey', 'Colin', 'Colin Creevey']"
Bandon Banshee,/wiki/Bandon_Banshee,"['Bandon', 'Bandon Banshee']"
pixies,/wiki/Pixie,['pixies']
Gladys Gudgeon,/wiki/Gladys_Gudgeon,"['Gladys', 'Gladys Gudgeon']"
