Name,Link,Aliases
Forbidden Forest Acromantula colony,/wiki/Forbidden_Forest_Acromantula_colony,[]
Olive Hornby,/wiki/Olive_Hornby,['Olive']
Tom Riddle Senior,/wiki/Tom_Riddle_Senior,['Tom']
Merope Riddle,/wiki/Merope_Riddle,['Merope']
Serpent of Slytherin,/wiki/Serpent_of_Slytherin,['Serpent']
Wendelin the Weird,/wiki/Wendelin_the_Weird,['Wendelin']
Unidentified Hogwarts owl,/wiki/Unidentified_Hogwarts_owl,[]
Fleetwood,/wiki/Fleetwood,[]
Ripper,/wiki/Ripper,"['Rippy-pippy-pooh', 'Rippy', 'Rippy-pooh']"
Fubster,/wiki/Fubster,[]
Stan Shunpike,/wiki/Stanley_Shunpike,['Stan']
Ernie Prang,/wiki/Ernest_Prang,['Ernie']
Sleeping wizard on the Knight Bus,/wiki/Dishevelled_Wizard,['Sleeping']
Marsh,/wiki/Marsh,[]
Prime Minister,/wiki/Prime_Minister,['Prime']
Florean Fortescue,/wiki/Florean_Fortescue,['Florean']
Cassandra Vablatsky,/wiki/Cassandra_Vablatsky,['Cassandra']
Magical Menagerie saleswoman,/wiki/Magical_Menagerie_saleswoman,['Magical']
Crookshanks,/wiki/Crookshanks,[]
Remus Lupin,/wiki/Remus_Lupin,"['Moony', 'Remus', 'Romulus', 'Lupin']"
Silvanus Kettleburn,/wiki/Silvanus_Kettleburn,"['Professor Kettleburn', 'Silvanus']"
Dementor,/wiki/Dementor,[]
Cadogan,/wiki/Cadogan,[]
Sybill Trelawney,/wiki/Sybill_Trelawney,"['Professor Trelawney', 'Sybill']"
Bilius,/wiki/Bilius,[]
Hogwarts Hippogriff herd,/wiki/Hogwarts_Hippogriff_herd,[]
Buckbeak,/wiki/Buckbeak,"['Witherwings', 'Beaky']"
Unidentified Muggle woman mentioned in Daily Prophet,/wiki/Unidentified_Muggle_woman_(II),[]
Boggart,/wiki/Boggart,[]
Binky,/wiki/Binky,[]
Grindylow,/wiki/Grindylow,[]
Cedric Diggory,/wiki/Cedric_Diggory,['Cedric']
Hinkypunk,/wiki/Hinkypunk,[]
Davey Gudgeon,/wiki/Davey_Gudgeon,['Davey']
Ambrosius Flume,/wiki/Ambrosius_Flume,['Ambrosius']
Ambrosius Flume's wife,/wiki/Ambrosius_Flume%27s_wife,[]
Rosmerta,/wiki/Rosmerta,[]
Peter Pettigrew's mother,/wiki/Peter_Pettigrew%27s_mother,[]
Derek,/wiki/Derek,[]
Septima Vector,/wiki/Septima_Vector,"['Professor Vector', 'Septima']"
